I	I[ALFS]

:	:[$,]

Manan	Mana[Part_Neg][^DB][--]n[Amb][+DirE]

chayta	chay[PrnDem][^DB][--]ta[Cas][+Acc]

ruranaychu	rura[VRoot][=hacer][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]chu[Amb][+Intr_Neg]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Porque	Porque[NRootES]

kunankaman	kunan[NRoot][=ahora][^DB][--]kama[Cas][+Term][^DB][--]n[Amb][+DirE]

mosqokushallanin	musqu[VRoot][=soñar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sha[Asp][+Prog][--]lla[Amb][+Lim_Aff][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]n[Amb][+DirE]

huk	huk[NRootNUM]

misti	misti[NRoot][=mestizo]

wiraqochakuna	wira[NRoot][=grasa]qucha[NRoot][=lago][--]kuna[Num][+Pl]

,	,[$,]

machuraq	machu[NRoot][=viejo][^DB][--]raq[Amb][+Cont]

,	,[$,]

waynaraq	wayna[NRoot][=joven][^DB][--]raq[Amb][+Cont]

,	,[$,]

señorakuna	señora[NRootES][--]kuna[Num][+Pl]

yana	yana[NRoot][=negro]

habitowan	habito[NRootES][^DB][--]wan[Cas][+Con_Inst]

p'achasqa	p'achasqa	+?

,	,[$,]

huk	huk[NRootNUM]

chicochakuna	chico[NRootES][--]cha[NDeriv][+Dim][--]kuna[Num][+Pl]

aysarisqa	aysa[VRoot][=llevar_en_la_mano,pesar][--]ri[VDeriv][+Inch][^DB][--]sqa[NS][+Perf]

,	,[$,]

wasiy	wasi[NRoot][=casa][^DB][--]y[NPers][+1.Sg.Poss]

punkuta	punku[NRoot][=puerta][^DB][--]ta[Cas][+Acc]

waqaq	waqa[VRoot][=llorar][^DB][--]q[NS][+Ag]

hamunku	hamu[VRoot][=venir][^DB][--]nku[VPers][+3.Pl.Subj]

.	.[$,]

Askha	Askha[NRoot][=mucho]

kutin	kuti[NRoot][=vez][^DB][--]n[NPers][+3.Sg.Poss]

mosqoyniypi	musqu[VRoot][=soñar][^DB][--]y[NS][+Inf][^DB][--]niy[NPers][+1.Sg.Poss][^DB][--]pi[Cas][+Loc]

rikuni	riku[VRoot][=ver,conocer,aparecer][^DB][--]ni[VPers][+1.Sg.Subj]

mistikunata	misti[NRoot][=mestizo][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

,	,[$,]

qharita	qhari[NRoot][=macho][^DB][--]ta[Cas][+Acc]

,	,[$,]

warmita	warmi[NRoot][=mujer][^DB][--]ta[Cas][+Acc]

,	,[$,]

herq'echakunata	hirq'i[NRoot][=niño][--]cha[NDeriv][+Dim][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

yanamanta	yana[NRoot][=negro][^DB][--]manta[Cas][+Abl]

vestisqata	vesti[VRootES][^DB][--]sqa[NS][+Perf][^DB][--]ta[Cas][+Acc]

,	,[$,]

yuraq	yuraq[NRoot][=blanco]

uyayoqta	uya[NRoot][=cara][^DB][--]yuq[NDeriv][+Poss][^DB][--]ta[Cas][+Acc]

papelta	papel[NRootES][^DB][--]ta[Cas][+Acc]

hina	hina[Part_Sim]

.	.[$,]

Llipinku	Llipi[NRoot][=todo][^DB][--]nku[NPers][+3.Pl.Poss]

junto	junto[NRootES]

waqashanku	waqa[VRoot][=llorar][^DB][--]sha[Asp][+Prog][--]nku[VPers][+3.Pl.Subj]

wañusqakuna	wañu[VRoot][=morir][^DB][--]sqa[NS][+Perf][--]kuna[Num][+Pl]

hina	hina[Part_Sim]

,	,[$,]

wasiy	wasi[NRoot][=casa][^DB][--]y[NPers][+1.Sg.Poss]

punkumantataq	punku[NRoot][=puerta][^DB][--]manta[Cas][+Abl][^DB][--]taq[Amb][+Con_Intr]

niwashanku	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]sha[Asp][+Prog][--]nku[VPers][+3.Pl.Subj]

:	:[$,]

-	-[$-]

Gregorio	Gregorio[NP]

,	,[$,]

imapaqmi	ima[NRoot][=cosa][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

kanawarankiku	kanawarankiku	+?

?	?[$,]

Cuerpoykupin	Cuerpo[NRootES][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

llaga	llaga[NRootES]

kashan	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Pero	Pero[NRootES]

mana	mana[Part_Neg]

hayk'aqpas	hayk'aq[PrnInterr][=cuándo][^DB][--]pas[Amb][+Add]

mosqoyniypeqa	musqu[VRoot][=soñar][^DB][--]y[NS][+Inf][^DB][--]niy[NPers][+1.Sg.Poss][^DB][--]pi[Cas][+Loc][^DB][--]qa[Amb][+Top]

rikunichu	riku[VRoot][=ver,conocer,aparecer][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

wasiy	wasi[NRoot][=casa][^DB][--]y[NPers][+1.Sg.Poss]

haykumoqta	hayku[VRoot][=entrar][--]mu[VDeriv][+Cis_Trs][^DB][--]q[NS][+Ag][^DB][--]ta[Cas][+Acc]

.	.[$,]

Siempre	Siempre[NRootES]

wasi	wasi[NRoot][=casa]

punkullamanta	punku[NRoot][=puerta][^DB][--]lla[Amb][+Lim_Aff][^DB][--]manta[Cas][+Abl]

nimuwashanku	ni[VRoot][=decir][--]mu[VDeriv][+Cis_Trs][^DB][--]wa[VPers][+1.Obj][^DB][--]sha[Asp][+Prog][--]nku[VPers][+3.Pl.Subj]

:	:[$,]

-	-[$-]

Gregorio	Gregorio[NP]

,	,[$,]

Gregorio	Gregorio[NP]

,	,[$,]

imapaqmi	ima[NRoot][=cosa][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

kanawarankiku	kanawarankiku	+?

?	?[$,]

Cuerpoykun	Cuerpo[NRootES][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]n[Amb][+DirE]

llaga	llaga[NRootES]

phusulli	phusulli	+?

hunt'a	hunt'a[NRoot][=lleno]

kashan	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Chaymanta	Chay[PrnDem][^DB][--]manta[Cas][+Abl]

,	,[$,]

warmiy	warmi[NRoot][=mujer][^DB][--]y[NPers][+1.Sg.Poss]

niwan	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

-	-[$-]

Seguro	Seguro[SP]

wasi	wasi[NRoot][=casa]

p'unchay	p'unchay[NRoot][=día]

haykumusqanku	hayku[VRoot][=entrar][--]mu[VDeriv][+Cis_Trs][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss]

,	,[$,]

wañusunchis	wañu[VRoot][=morir][^DB][--]sunchis[VPers][+1.Pl.Incl.Subj.Fut]

.	.[$,]

Chaymanta	Chay[PrnDem][^DB][--]manta[Cas][+Abl]

askha	askha[NRoot][=mucho]

kuti	kuti[NRoot][=vez]

hanpeqman	hanpi[VRoot][=curar][^DB][--]q[NS][+Ag][^DB][--]man[Cas][+Dat_Ill]

rini	ri[VRoot][=ir][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

alcanzo	alcanzo[NRootES]

almakunaman	alma[NRootES][--]kuna[Num][+Pl][^DB][--]man[Cas][+Dat_Ill]

churananpaq	chura[VRoot][=poner][^DB][--]na[NS][+Obl][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Pero	Pero[NRootES]

hanpeq	hanpi[VRoot][=curar][^DB][--]q[NS][+Ag]

nin	ni[VRoot][=decir][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

-	-[$-]

Manan	Mana[Part_Neg][^DB][--]n[Amb][+DirE]

resultanchu	resulta[VRootES][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Almakunan	Alma[NRootES][--]kuna[Num][+Pl][^DB][--]n[Amb][+DirE]

puro	puro[NRootES]

misti	misti[NRoot][=mestizo]

wiraqochakuna	wira[NRoot][=grasa]qucha[NRoot][=lago][--]kuna[Num][+Pl]

mana	mana[Part_Neg]

chaskiyta	chaski[VRoot][=recibir,aceptar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munankuchu	muna[VRoot][=querer][^DB][--]nku[VPers][+3.Pl.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Primer	Primer[NRootES]

pagoy	pago[NRootES][^DB][--]y[NPers][+1.Sg.Poss]

y	y[SP]

llipin	llipi[NRoot][=todo][^DB][--]n[NPers][+3.Sg.Poss]

pagoy	pago[NRootES][^DB][--]y[NPers][+1.Sg.Poss]

chaskisqayqa	chaski[VRoot][=recibir,aceptar][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]qa[Amb][+Top]

peonpi	peon[NRootES][^DB][--]pi[Cas][+Loc]

llank'apakusqaymantan	llank'a[VRoot][=trabajar][--]pa[VDeriv][+Rgr_Iprs][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]manta[Cas][+Abl][^DB][--]n[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

licenciado	licenciado[NRootES]

lloqsishaqtiy	lluqsi[VRoot][=salir][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]y[NPers][+1.Sg.Poss]

.	.[$,]

Chay	Chay[PrnDem]

pagoykutan	pago[NRootES][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

hap'icheq	hap'i[VRoot][=agarrar,entender][^DB][--]chi[VDeriv][+Caus][^DB][--]q[NS][+Ag]

kayku	ka[VRoot][=ser][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

amigo	amigo[NRootES]

Bernaku	Bernaku[NP]

T'itupuwan	T'itu[NRoot][=oscuro][^DB][--]puwan[Cas][+Soc]

señora	señora[NRootES]

Teodolinda	Teodolinda[NP]

Bacaman	Bacaman	+?

Kunankamapas	Kunan[NRoot][=ahora][^DB][--]kama[Cas][+Term][^DB][--]pas[Amb][+Add]

yuyashallanin	yuya[VRoot][=recordar,pensar][^DB][--]sha[Asp][+Prog][--]lla[Amb][+Lim_Aff][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]n[Amb][+DirE]

sutinta	suti[NRoot][=nombre][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Allillanmi	Alli[NRoot][=bueno][^DB][--]lla[Amb][+Lim_Aff][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]mi[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

Panpa	Panpa[NRoot][=suelo,tierra]

del	del[SP]

Castillopi	Castillo[NRootES][^DB][--]pi[Cas][+Loc]

chicheriayoq	chicheria[NRootES][^DB][--]yuq[NDeriv][+Poss]

.	.[$,]

Kaypin	Kay[PrnDem][^DB][--]pi[Cas][+Loc][^DB][--]n[Amb][+DirE]

alojakoq	aloja[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

kayku	ka[VRoot][=ser][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

,	,[$,]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

pagaqchu	paga[VRootES][^DB][--]q[NS][+Ag][^DB][--]chu[Amb][+Intr_Neg]

kayku	ka[VRoot][=ser][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

,	,[$,]

alojawasqankumanta	aloja[VRootES][^DB][--]wa[VPers][+1.Obj][^DB][--]sqa[NS][+Perf][^DB][--]nku[NPers][+3.Pl.Poss][^DB][--]manta[Cas][+Abl]

solo	sólo[SP]

yanapallaq	yanapa[VRoot][=ayudar][^DB][--]lla[Amb][+Lim_Aff][^DB][--]q[NS][+Ag]

kayku	ka[VRoot][=ser][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

tutamantankuna	tutamantankuna	+?

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

tardenta	tarde[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

isankan	isankan	+?

maylliyta	maylli[VRoot][=lavar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

.	.[$,]

Allin	Allin[NRoot][=bueno]

honradan	honrada[NRootES][^DB][--]n[Amb][+DirE]

qolqe	qulqi[NRoot][=plata]

qosqaykuta	qu[VRoot][=dar][^DB][--]sqa[NS][+Perf][^DB][--]yku[NPers][+1.Pl.Excl.Poss][^DB][--]ta[Cas][+Acc]

waqaychaq	waqa[VRoot][=guardar,proteger][^DB][--]y[NS][+Inf][--]cha[VS][+Fact][^DB][--]q[NS][+Ag]

huk	huk[NRootNUM]

servilletapi	servilleta[NRootES][^DB][--]pi[Cas][+Loc]

,	,[$,]

huk	huk[NRootNUM]

kantunpin	kantunpin	+?

waqaychaq	waqa[VRoot][=guardar,proteger][^DB][--]y[NS][+Inf][--]cha[VS][+Fact][^DB][--]q[NS][+Ag]

,	,[$,]

hoq	huq[NRootNUM]

kaqninpitaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag][^DB][--]nin[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc][^DB][--]taq[Amb][+Con_Intr]

Bernakoqta	Bernakoqta	+?

.	.[$,]

Chhaynan	Chhayna[PrnDem][^DB][--]n[NPers][+3.Sg.Poss]

mana	mana[Part_Neg]

faltaqchu	falta[VRootES][^DB][--]q[NS][+Ag][^DB][--]chu[Amb][+Intr_Neg]

ni	ni[SP]

huk	huk[NRootNUM]

centavopas	centavo[NRootES][^DB][--]pas[Amb][+Add]

.	.[$,]

Qosqopeqa	Qusqu[NRoot][NP][^DB][--]pi[Cas][+Loc][^DB][--]qa[Amb][+Top]

imata	ima[NRoot][=cosa][^DB][--]ta[Cas][+Acc]

ruraspapas	rura[VRoot][=hacer][^DB][--]spa[NS][+SS][^DB][--]pas[Amb][+Add]

atikoqmi	ati[VRoot][=poder,vencer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag][^DB][--]mi[Amb][+DirE]

qolqe	qulqi[NRoot][=plata]

ganakuyta	gana[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

,	,[$,]

peonmanta	peon[NRootES][^DB][--]manta[Cas][+Abl]

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

q'epipakuspapas	q'ipi[VRoot][=llevar][--]pa[VDeriv][+Rgr_Iprs][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]spa[NS][+SS][^DB][--]pas[Amb][+Add]

,	,[$,]

llaqtay	llaqta[NRoot][=pueblo][^DB][--]y[NPers][+1.Sg.Poss]

rinaypaq	ri[VRoot][=ir][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

soldadomanta	soldado[NRootES][^DB][--]manta[Cas][+Abl]

lloqsishaspa	lluqsi[VRoot][=salir][^DB][--]sha[Asp][+Prog][^DB][--]spa[NS][+SS]

qolqe	qulqi[NRoot][=plata]

ganasqaywan	gana[VRootES][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]wan[Cas][+Con_Inst]

askha	askha[NRoot][=mucho]

ropatan	ropa[NRootES][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

rantikurani	ranti[VRoot][=comprar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

iskay	iskay[NRootNUM]

pantalonta	pantalon[NRootES][^DB][--]ta[Cas][+Acc]

,	,[$,]

huk	huk[NRootNUM]

chalecota	chaleco[NRootES][^DB][--]ta[Cas][+Acc]

,	,[$,]

huk	huk[NRootNUM]

sacota	sacota	+?

,	,[$,]

huk	huk[NRootNUM]

camisata	camisa[NRootES][^DB][--]ta[Cas][+Acc]

,	,[$,]

iskay	iskay[NRootNUM]

pares	pares	+?

yuraq	yuraq[NRoot][=blanco]

mediasta	mediasta	+?

,	,[$,]

-	-[$-]

chay	chay[PrnDem]

alemán	alemán[NRootES]

neqkunata	ni[VRoot][=decir][^DB][--]q[NS][+Ag][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

-	-[$-]

,	,[$,]

munaychakunan	muna[VRoot][=querer][^DB][--]y[NS][+Inf][--]cha[NDeriv][+Dim][--]kuna[Num][+Pl][^DB][--]n[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

hasta	hasta[NRootES]

moqokama	muqu[NRoot][=grano,rodilla][^DB][--]kama[Cas][+Term]

,	,[$,]

bola	bula[NRootES]

hayt'aqkunaq	hayt'a[VRoot][=patear][^DB][--]q[NS][+Ag][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

hina	hina[Part_Sim]

.	.[$,]

Chay	Chay[PrnDem]

llipinmi	llipi[NRoot][=todo][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]mi[Amb][+DirE]

pusaq	pusaq[NRootNUM]

soles	soles[NRootES]

cuestawaran	cuesta[VRootES][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

ternoyoq	terno[NRootES][^DB][--]yuq[NDeriv][+Poss]

kay	ka[VRoot][=ser][^DB][--]y[NS][+Inf]

hinaraq	hina[Part_Sim][^DB][--]raq[Amb][+Cont]

.	.[$,]

Chaykunamantawanmi	Chay[PrnDem][--]kuna[Num][+Pl][^DB][--]manta[Cas][+Abl][^DB][--]wan[Cas][+Con_Inst][^DB][--]mi[Amb][+DirE]

manaña	mana[Part_Neg][^DB][--]ña[Amb][+Disc]

llaqtapi	llaqta[NRoot][=pueblo][^DB][--]pi[Cas][+Loc]

acostumbrakamuranichu	acostumbra[VRootES][^DB][--]ka[VDeriv][+Rflx_Int][--]mu[VDeriv][+Cis_Trs][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Chay	Chay[PrnDem]

pacha	pacha[NRoot][=mundo,tiempo]

tiempopas	tiempo[NRootES][^DB][--]pas[Amb][+Add]

q'epeqmi	q'ipi[VRoot][=llevar][^DB][--]q[NS][+Ag][^DB][--]mi[Amb][+DirE]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

tutamantan	tuta[NRoot][=noche][^DB][--]manta[Cas][+Abl][^DB][--]n[Amb][+DirE]

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

tardenta	tarde[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

.	.[$,]

Chay	Chay[PrnDem]

pachaqa	pacha[NRoot][=mundo,tiempo][^DB][--]qa[Amb][+Top]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

karanchu	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

qolqe	qulqi[NRoot][=plata]

sencillo	sencillo[NRootES]

kunan	kunan[NRoot][=ahora]

hina	hina[Part_Sim]

.	.[$,]

Maynillan	Maynillan	+?

pin	pi[PrnInterr][=quién][^DB][--]n[Amb][+DirE]

qolqepi	qulqi[NRoot][=plata][^DB][--]pi[Cas][+Loc]

pagaqku	paga[VRootES][^DB][--]qku[VPers][+3.Pl.Subj.Hab]

,	,[$,]

mediolla	medio[NRootES][^DB][--]lla[Amb][+Lim_Aff]

huk	huk[NRootNUM]

q'epiymanta	q'ipi[VRoot][=llevar][^DB][--]y[NS][+Inf][^DB][--]manta[Cas][+Abl]

,	,[$,]

y	y[SP]

eso	eso	+?

,	,[$,]

estacionmanta	estacion[NRootES][^DB][--]manta[Cas][+Abl]

,	,[$,]

ukhuman	ukhu[NRoot][=dentro][^DB][--]man[Cas][+Dat_Ill]

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

mercadomanta	mercado[NRootES][^DB][--]manta[Cas][+Abl]

kantunkunaman	kantunkunaman	+?

.	.[$,]

Huk	Huk[NRootNUM]

allin	allin[NRoot][=bueno]

pago	pago[NRootES]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

huk	huk[NRootNUM]

real	real[NRootES]

.	.[$,]

Pagoqa	Pago[NRootES][^DB][--]qa[Amb][+Top]

siempre	siempre[NRootES]

kaq	ka[VRoot][=ser][^DB][--]q[NS][+Ag]

roqotupi	roqotupi	+?

otaq	o[Part_Contr][^DB][--]taq[Amb][+Con_Intr]

uchupi	uchu[NRoot][=ají][^DB][--]pi[Cas][+Loc]

,	,[$,]

chaytataq	chay[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]taq[Amb][+Con_Intr]

apaq	apa[VRoot][=llevar][^DB][--]q[NS][+Ag]

kayku	ka[VRoot][=ser][^DB][--]yku[VPers][+1.Pl.Excl.Subj]

mut'i	mut'i[NRoot][=mote]

vendeqkunaman	vende[VRootES][^DB][--]q[NS][+Ag][--]kuna[Num][+Pl][^DB][--]man[Cas][+Dat_Ill]

.	.[$,]

Mediowan	Medio[NRootES][^DB][--]wan[Cas][+Con_Inst]

atikoq	ati[VRoot][=poder,vencer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

kinsa	kinsa[NRootNUM]

plato	plato[NRootES]

phoqchirishaq	phuqchi[VRoot][=burbujear][--]ri[VDeriv][+Inch][^DB][--]sha[Asp][+Prog][^DB][--]q[NS][+Ag]

almorzakuy	almorza[VRootES][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]y[NS][+Inf]

,	,[$,]

hatun	hatun[NRoot][=grande]

karay	karay[NRoot][=grande]

aychayoq	aycha[NRoot][=cuerpo,carne][^DB][--]yuq[NDeriv][+Poss]

.	.[$,]

Ñawpaq	Ñawpaq[NRoot][=antes]

,	,[$,]

allinta	allin[NRoot][=bueno][^DB][--]ta[Cas][+Acc]

mikhukoq	mikhu[VRoot][=comer][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

.	.[$,]

A	A[SP]

!	![$,]

allin	allin[NRoot][=bueno]

tiempo	tiempo[NRootES]

aycha	aycha[NRoot][=cuerpo,carne]

mikhunapaq	mikhu[VRoot][=comer][^DB][--]na[NS][+Obl][^DB][--]paq[Cas][+Ben]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

!	![$,]

VII	VII	+?

Tupaq	Tupaq[NRoot][=noble]

Amaroqa	Amaru[NRoot][=serpiente][^DB][--]qa[Amb][+Top]

Tunqasukamanta	Tunqasuka[NP][^DB][--]manta[Cas][+Abl]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

,	,[$,]

paisano	paisano[NRootES]

,	,[$,]

inkaq	inka[NRoot][=inca][^DB][--]q[Cas][+Gen]

churin	churi[NRoot][=hijo][^DB][--]n[NPers][+3.Sg.Poss]

,	,[$,]

pero	pero[NRootES]

huk	huk[NRootNUM]

p'unchay	p'unchay[NRoot][=día]

chay	chay[PrnDem]

español	español[NRootES]

enemigokuna	enemigo[NRootES][--]kuna[Num][+Pl]

wañuchiran	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Qallunta	Qallu[NRoot][=lengua][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

horqosqaku	hurqu[VRoot][=sacar][^DB][--]sqaku[VPers][+3.Pl.IPst]

,	,[$,]

ñawinkunata	ñawi[NRoot][=ojo][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

saphinmantaraq	saphi[NRoot][=raíz][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl][^DB][--]raq[Amb][+Cont]

.	.[$,]

Chhaynatan	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

Tupaq	Tupaq[NRoot][=noble]

Amaruta	Amaru[NRoot][=serpiente][^DB][--]ta[Cas][+Acc]

wañuchisqaku	wañu[VRoot][=morir][^DB][--]chi[VDeriv][+Caus][^DB][--]sqaku[VPers][+3.Pl.IPst]

contrarionkuna	contrario[NRootES][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl]

.	.[$,]

Tupaq	Tupaq[NRoot][=noble]

Amaroq	Amaru[NRoot][=serpiente][^DB][--]q[Cas][+Gen]

contrarionkunaqa	contrario[NRootES][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]qa[Amb][+Top]

inka	inka[NRoot][=inca]

machulanchiskunaq	machula[NRoot][=abuelo][^DB][--]nchis[NPers][+1.Pl.Incl.Poss][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

contrariollantaqmi	contrario[NRootES][^DB][--]lla[Amb][+Lim_Aff][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

.	.[$,]

Inkarrey	Inkarrey[NRootES]

,	,[$,]

machulanchiskunaq	machula[NRoot][=abuelo][^DB][--]nchis[NPers][+1.Pl.Incl.Poss][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

tiemponmantaqa	tiempo[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl][^DB][--]qa[Amb][+Top]

kaytan	kay[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

ninku	ni[VRoot][=decir][^DB][--]nku[VPers][+3.Pl.Subj]

:	:[$,]

Diosninchissi	Dios[NRootES][^DB][--]ninchis[NPers][+1.Pl.Incl.Poss][^DB][--]si[Amb][+IndE]
